ID_HECHO,CANT_VICTIMAS,FECHA_SINIESTRO,AÑO_S,MES_S,DIA_S,HORA,TIPO_DE_CALLE,NOMBRE_CALLE_AV,COMUNA,VEH_INVOLUCRADOS,VEH_AFECTADO,VEH_ACUSADO,FECHA_FALLECIMIENTO,AÑO_F,MES_F,DIA_F,ROL,VEH_FALLECIDO,SEXO,EDAD
2020-0028,1,2020-05-19,2020,5,19,10,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",15,PEATON-PASAJEROS,PEATON,PASAJEROS,2020-05-23 00:00:00,2020,5,19,PEATON,PEATON,MASCULINO,91
2020-0029,1,2020-06-10,2020,6,10,14,GRAL PAZ,"PAZ, GRAL. AV.",9,PEATON-PASAJEROS,PEATON,PASAJEROS,2020-06-12 00:00:00,2020,6,10,PEATON,PEATON,MASCULINO,80
2020-0030,1,2020-06-16,2020,6,16,15,AVENIDA,SAN MARTIN AV.,6,MULTIPLE,MOTO,MULTIPLE,2020-06-16 00:00:00,2020,6,16,CONDUCTOR,MOTO,MASCULINO,40
2020-0031,1,2020-06-30,2020,6,30,8,AVENIDA,"GARZON, EUGENIO, GRAL. AV.",9,MOTO-CARGAS,MOTO,CARGAS,2020-06-30 00:00:00,2020,6,30,CONDUCTOR,MOTO,MASCULINO,29
2020-0032,1,2020-07-10,2020,7,10,23,AVENIDA,CORRIENTES AV.,15,MOTO-AUTO,MOTO,AUTO,2020-07-10 00:00:00,2020,7,10,CONDUCTOR,MOTO,MASCULINO,21
2020-0033,1,2020-07-19,2020,7,19,6,GRAL PAZ,"PAZ, GRAL. AV.",13,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,2020-07-19 00:00:00,2020,7,19,CONDUCTOR,AUTO,MASCULINO,32
2020-0034,1,2020-08-02,2020,8,2,3,CALLE,"MITRE, BARTOLOME",3,PEATON-AUTO,PEATON,AUTO,2020-08-02 00:00:00,2020,8,2,PEATON,PEATON,FEMENINO,SD
2020-0035,1,2020-08-04,2020,8,4,5,AUTOPISTA,AUTOPISTA 25 DE MAYO,7,MOTO-PASAJEROS,MOTO,PASAJEROS,2020-08-04 00:00:00,2020,8,4,CONDUCTOR,MOTO,MASCULINO,40
2020-0036,1,2020-08-07,2020,8,7,18,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",14,PEATON-MOTO,PEATON,MOTO,2020-08-22 00:00:00,2020,8,7,PEATON,PEATON,MASCULINO,72
2020-0037,1,2020-08-29,2020,8,29,4,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,PEATON-AUTO,PEATON,AUTO,2020-08-29 00:00:00,2020,8,29,PEATON,PEATON,MASCULINO,38
