ID_HECHO,CANT_VICTIMAS,FECHA_SINIESTRO,AÑO_S,MES_S,DIA_S,HORA,TIPO_DE_CALLE,NOMBRE_CALLE_AV,COMUNA,VEH_INVOLUCRADOS,VEH_AFECTADO,VEH_ACUSADO,FECHA_FALLECIMIENTO,AÑO_F,MES_F,DIA_F,ROL,VEH_FALLECIDO,SEXO,EDAD
2021-0037,1,2021-05-11,2021,5,11,7,AVENIDA,MONROE,13,PEATON-PASAJEROS,PEATON,PASAJEROS,2021-05-11 00:00:00,2021,5,11,PEATON,PEATON,FEMENINO,58
2021-0038,1,2021-05-14,2021,5,14,11,AVENIDA,"JUSTO, JUAN B. AV.",14,MOTO-CARGAS,MOTO,CARGAS,2021-05-14 00:00:00,2021,5,14,CONDUCTOR,MOTO,FEMENINO,44
2021-0039,1,2021-05-15,2021,5,15,12,AVENIDA,OLIDEN,9,BICICLETA-AUTO,BICICLETA,AUTO,2021-06-05 00:00:00,2021,5,15,CICLISTA,BICICLETA,MASCULINO,86
2021-0040,1,2021-05-20,2021,5,20,5,GRAL PAZ,"PAZ, GRAL. AV.",13,MOTO-AUTO,MOTO,AUTO,2021-05-20 00:00:00,2021,5,20,CONDUCTOR,MOTO,MASCULINO,27
2021-0041,1,2021-05-20,2021,5,20,8,AVENIDA,DEL LIBERTADOR AV.,14,PEATON-PASAJEROS,PEATON,PASAJEROS,2021-05-20 00:00:00,2021,5,20,PEATON,PEATON,MASCULINO,75
2021-0042,1,2021-05-21,2021,5,21,5,AVENIDA,RIVADAVIA AV.,9,PEATON-PASAJEROS,PEATON,PASAJEROS,2021-05-21 00:00:00,2021,5,21,PEATON,PEATON,MASCULINO,39
2021-0043,1,2021-05-22,2021,5,22,18,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",9,PEATON-AUTO,PEATON,AUTO,2021-05-22 00:00:00,2021,5,22,PEATON,PEATON,MASCULINO,50
2021-0044,1,2021-05-25,2021,5,25,2,AVENIDA,"PERON, EVA AV.",9,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2021-05-25 00:00:00,2021,5,25,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,21
2021-0045,1,2021-05-26,2021,5,26,17,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,MULTIPLE,MOTO,MULTIPLE,2021-05-26 00:00:00,2021,5,26,CONDUCTOR,MOTO,MASCULINO,22
2021-0046,1,2021-05-31,2021,5,31,2,AVENIDA,ELCANO AV.,15,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,2021-05-31 00:00:00,2021,5,31,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,20
2021-0047,1,2021-06-02,2021,6,2,16,AVENIDA,"VEDIA, AGUSTIN DE",4,MOTO-AUTO,MOTO,AUTO,2021-06-02 00:00:00,2021,6,2,CONDUCTOR,MOTO,MASCULINO,59
2021-0048,1,2021-06-03,2021,6,3,9,AVENIDA,CAPDEVILA,12,BICICLETA-AUTO,BICICLETA,AUTO,2021-06-23 00:00:00,2021,6,3,CICLISTA,BICICLETA,MASCULINO,44
2021-0049,1,2021-06-03,2021,6,3,20,AVENIDA,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,AUTO-AUTO,AUTO,AUTO,2021-06-03 00:00:00,2021,6,3,CONDUCTOR,AUTO,MASCULINO,74
2021-0050,1,2021-06-10,2021,6,10,13,AVENIDA,DEL LIBERTADOR AV.,13,MOTO-PASAJEROS,MOTO,PASAJEROS,2021-06-10 00:00:00,2021,6,10,CONDUCTOR,MOTO,MASCULINO,56
2021-0051,1,2021-06-15,2021,6,15,19,AVENIDA,27 DE FEBRERO AV.,4,PEATON-CARGAS,PEATON,CARGAS,2021-06-16 00:00:00,2021,6,15,PEATON,PEATON,MASCULINO,73
2021-0052,1,2021-06-20,2021,6,20,5,GRAL PAZ,"PAZ, GRAL. AV.",8,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2021-06-20 00:00:00,2021,6,20,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,19
2021-0053,1,2021-06-20,2021,6,20,12,AVENIDA,CORRIENTES AV.,15,PEATON-BICICLETA,PEATON,BICICLETA,2021-06-30 00:00:00,2021,6,20,PEATON,PEATON,MASCULINO,58
2021-0054,1,2021-06-22,2021,6,22,14,CALLE,TABARE,4,MOTO-CARGAS,MOTO,CARGAS,2021-06-22 00:00:00,2021,6,22,CONDUCTOR,MOTO,MASCULINO,41
2021-0055,1,2021-06-29,2021,6,29,12,AVENIDA,CORRIENTES AV.,3,MOTO-CARGAS,MOTO,CARGAS,2021-06-29 00:00:00,2021,6,29,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,47
2021-0056,1,2021-07-09,2021,7,9,23,AVENIDA,CORRALES,4,BICICLETA-AUTO,BICICLETA,AUTO,2021-07-09 00:00:00,2021,7,9,CICLISTA,BICICLETA,MASCULINO,60
2021-0057,1,2021-07-10,2021,7,10,23,AUTOPISTA,AUTOPISTA ARTURO ILLIA,2,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,2021-07-10 00:00:00,2021,7,10,CONDUCTOR,AUTO,MASCULINO,46
2021-0058,1,2021-07-21,2021,7,21,0,GRAL PAZ,"PAZ, GRAL. AV.",12,PEATON-AUTO,PEATON,AUTO,2021-07-21 00:00:00,2021,7,21,PEATON,PEATON,MASCULINO,24
2021-0059,1,2021-07-22,2021,7,22,1,AVENIDA,"GARAY, JUAN DE AV.",3,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,2021-07-22 00:00:00,2021,7,22,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,44
2021-0060,1,2021-07-22,2021,7,22,12,AVENIDA,"SALGUERO, JERONIMO",5,PEATON-PASAJEROS,PEATON,PASAJEROS,2021-07-22 00:00:00,2021,7,22,PEATON,PEATON,FEMENINO,80
2021-0061,1,2021-07-24,2021,7,24,9,AVENIDA,"MORENO, PERITO AV.",4,PEATON-CARGAS,PEATON,CARGAS,2021-07-24 00:00:00,2021,7,24,PEATON,PEATON,FEMENINO,55
2021-0062,1,2021-07-27,2021,7,27,7,AVENIDA,LA PLATA AV.,4,AUTO-CARGAS,AUTO,CARGAS,2021-07-27 00:00:00,2021,7,27,CONDUCTOR,AUTO,MASCULINO,73
2021-0063,1,2021-08-02,2021,8,2,4,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",7,AUTO-AUTO,AUTO,AUTO,2021-08-02 00:00:00,2021,8,2,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,31
2021-0064,1,2021-08-02,2021,8,2,20,GRAL PAZ,"PAZ, GRAL. AV.",9,PEATON-CARGAS,PEATON,CARGAS,2021-08-03 00:00:00,2021,8,2,PEATON,PEATON,MASCULINO,37
2021-0065,1,2021-08-06,2021,8,6,8,AVENIDA,SAN JUAN AV.,6,PEATON-PASAJEROS,PEATON,PASAJEROS,2021-08-10 00:00:00,2021,8,6,PEATON,PEATON,FEMENINO,63
2021-0066,1,2021-08-06,2021,8,6,20,AVENIDA,LOPE DE VEGA AV.,11,PEATON-PASAJEROS,PEATON,PASAJEROS,2021-08-09 00:00:00,2021,8,6,PEATON,PEATON,MASCULINO,59
2021-0067,1,2021-08-08,2021,8,8,9,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2021-08-08 00:00:00,2021,8,8,CONDUCTOR,MOTO,MASCULINO,27
2021-0068,1,2021-08-15,2021,8,15,6,AVENIDA,"BEIRO, FRANCISCO AV.",11,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2021-08-15 00:00:00,2021,8,15,CONDUCTOR,MOTO,MASCULINO,39
2021-0069,1,2021-08-20,2021,8,20,17,AVENIDA,SANTA FE AV.,14,PEATON-AUTO,PEATON,AUTO,2021-08-21 00:00:00,2021,8,20,PEATON,PEATON,MASCULINO,17
2021-0070,1,2021-08-28,2021,8,28,8,AVENIDA,"CHILAVERT, MARTINIANO, CORONEL",8,MOTO-CARGAS,MOTO,CARGAS,2021-08-28 00:00:00,2021,8,28,CONDUCTOR,MOTO,MASCULINO,31
2021-0071,1,2021-08-31,2021,8,31,16,CALLE,SAN LUIS,3,PEATON-MOTO,PEATON,MOTO,2021-09-01 00:00:00,2021,8,31,PEATON,PEATON,MASCULINO,88
2021-0072,1,2021-09-01,2021,9,1,19,AVENIDA,CALLAO AV.,2,PEATON-AUTO,PEATON,AUTO,2021-09-01 00:00:00,2021,9,1,PEATON,PEATON,FEMENINO,57
2021-0073,1,2021-09-18,2021,9,18,12,AVENIDA,DEL LIBERTADOR AV.,2,BICICLETA-AUTO,BICICLETA,AUTO,2021-09-18 00:00:00,2021,9,18,CICLISTA,BICICLETA,FEMENINO,76
2021-0074,1,2021-09-20,2021,9,20,15,GRAL PAZ,"PAZ, GRAL. AV.",12,MULTIPLE,MOTO,MULTIPLE,2021-09-20 00:00:00,2021,9,20,CONDUCTOR,MOTO,MASCULINO,55
2021-0075,1,2021-09-21,2021,9,21,14,CALLE,SALTA,1,PEATON-CARGAS,PEATON,CARGAS,2021-09-21 00:00:00,2021,9,21,PEATON,PEATON,MASCULINO,65
2021-0076,1,2021-10-16,2021,10,16,6,AVENIDA,"MORENO, PERITO AV.",7,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2021-10-16 00:00:00,2021,10,16,CONDUCTOR,MOTO,MASCULINO,31
2021-0077,1,2021-10-18,2021,10,18,7,AVENIDA,DIRECTORIO AV.,6,MOTO-CARGAS,MOTO,CARGAS,2021-10-18 00:00:00,2021,10,18,CONDUCTOR,MOTO,FEMENINO,31
2021-0078,1,2021-10-23,2021,10,23,6,AVENIDA,INDEPENDENCIA AV.,6,MOTO-PASAJEROS,MOTO,PASAJEROS,2021-10-23 00:00:00,2021,10,23,CONDUCTOR,MOTO,MASCULINO,22
2021-0079,1,2021-10-25,2021,10,25,3,CALLE,TUCUMAN,3,PEATON-AUTO,PEATON,AUTO,2021-10-25 00:00:00,2021,10,25,PEATON,PEATON,MASCULINO,SD
2021-0080,1,2021-10-28,2021,10,28,16,AVENIDA,ARENALES,1,MOTO-AUTO,MOTO,AUTO,2021-10-28 00:00:00,2021,10,28,CONDUCTOR,MOTO,MASCULINO,32
2021-0081,1,2021-11-02,2021,11,2,13,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,MOTO-CARGAS,MOTO,CARGAS,2021-11-02 00:00:00,2021,11,2,CONDUCTOR,MOTO,MASCULINO,26
2021-0082,1,2021-11-06,2021,11,6,4,AUTOPISTA,AUTOPISTA 25 DE MAYO,3,MOTO-AUTO,MOTO,AUTO,2021-11-06 00:00:00,2021,11,6,CONDUCTOR,MOTO,MASCULINO,38
2021-0083,1,2021-11-09,2021,11,9,0,AVENIDA,CABILDO AV.,13,MOTO-AUTO,MOTO,AUTO,2021-11-09 00:00:00,2021,11,9,CONDUCTOR,MOTO,MASCULINO,30
2021-0084,1,2021-11-11,2021,11,11,3,AVENIDA,TAPALQUE,9,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,2021-11-11 00:00:00,2021,11,11,CONDUCTOR,AUTO,MASCULINO,32
2021-0097,1,2021-11-18,2021,11,18,6,CALLE,PADRE CARLOS MUJICA,1,BICICLETA-AUTO,BICICLETA,AUTO,2021-11-19 00:00:00,2021,11,18,CICLISTA,BICICLETA,MASCULINO,53
2021-0085,1,2021-11-20,2021,11,20,18,GRAL PAZ,"PAZ, GRAL. AV.",12,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2021-11-20 00:00:00,2021,11,20,CONDUCTOR,MOTO,MASCULINO,49
2021-0086,1,2021-11-25,2021,11,25,10,AVENIDA,RIVADAVIA AV.,6,PEATON-PASAJEROS,PEATON,PASAJEROS,2021-11-25 00:00:00,2021,11,25,PEATON,PEATON,MASCULINO,75
2021-0087,1,2021-11-27,2021,11,27,11,CALLE,ESMERALDA,1,PEATON-BICICLETA,PEATON,BICICLETA,2021-11-27 00:00:00,2021,11,27,PEATON,PEATON,FEMENINO,73
2021-0088,1,2021-12-01,2021,12,1,15,CALLE,MONROE,13,MOTO-AUTO,MOTO,AUTO,2021-12-07 00:00:00,2021,12,1,CONDUCTOR,MOTO,MASCULINO,45
2021-0089,1,2021-12-02,2021,12,2,1,AVENIDA,GAONA AV.,11,MOTO-AUTO,MOTO,AUTO,2021-12-11 00:00:00,2021,12,2,CONDUCTOR,MOTO,MASCULINO,41
2021-0090,1,2021-12-10,2021,12,10,11,AVENIDA,9 DE JULIO AV.,1,PEATON-PASAJEROS,PEATON,PASAJEROS,2022-01-03 00:00:00,2021,12,10,PEATON,PEATON,MASCULINO,73
2021-0091,1,2021-12-11,2021,12,11,23,CALLE,BAIGORRIA,10,MOTO-AUTO,MOTO,AUTO,2021-12-11 00:00:00,2021,12,11,CONDUCTOR,MOTO,MASCULINO,24
2021-0092,1,2021-12-12,2021,12,12,6,AVENIDA,RIVADAVIA AV.,3,PEATON-AUTO,PEATON,AUTO,2021-12-12 00:00:00,2021,12,12,PEATON,PEATON,FEMENINO,50
2021-0093,1,2021-12-13,2021,12,13,17,AVENIDA,RIESTRA AV.,7,MOTO-AUTO,MOTO,AUTO,2021-12-18 00:00:00,2021,12,13,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,18
2021-0094,1,2021-12-20,2021,12,20,1,AUTOPISTA,"DELLEPIANE, LUIS, TTE. GRAL.",9,MOTO-AUTO,MOTO,AUTO,2021-12-20 00:00:00,2021,12,20,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,43
2021-0095,1,2021-12-30,2021,12,30,0,AVENIDA,GAONA AV.,11,MOTO-CARGAS,MOTO,CARGAS,2022-01-02 00:00:00,2021,12,30,CONDUCTOR,MOTO,MASCULINO,27
2021-0096,1,2021-12-15,2021,12,15,10,AVENIDA,"PERON, EVA AV.",9,AUTO-CARGAS,AUTO,CARGAS,2021-12-20 00:00:00,2021,12,15,CONDUCTOR,AUTO,MASCULINO,60
